tipo,tabla
maestro,ODS_ACU_ATTARCREDITO
maestro,CL
maestro,TEMP_MATRIZ_CXP_MO2
maestro,V_FD_CLI_CTA_TAR_REL_MAT
maestro,MDM_PERNAME
maestro,ODS_FINMES_ATAHORROS
maestro,CUADRO_MES_CRC
maestro,FD_ACU_AMBS_CUENTAS
maestro,MDM_PERSON
maestro,FD_AMPJ_SUBPLAN
maestro,FD_ACU_ATTARCREDITO
maestro,MDM_CONTRACTSERV
maestro,FD_GLATAREX
maestro,DESEMBOLSOS
maestro,GDD_MID_PREAPROBADOS
maestro,ODS_TXN_TP_DWH
maestro,GDD_MID_MAREIGUACAMPANAS
maestro,ODS_ATTXC
maestro,HISTORICO_CREDITOS
maestro,MDM_SEGMENT
maestro,CREDITOS
maestro,DB_TARJETAS_DEBITO
maestro,ODS_CANAL_DWH
maestro,RDM_HIERARCHY_ALL
maestro,ODS_BPM_PRODUCTOS
maestro,ODS_NOVEDADES_EXPEDI_CRM
maestro,FD_AMRM_RELACIONES
maestro,CNL1
maestro,ODS_ATCTACTES
maestro,MDM_ORGNAME
maestro,MDM_ADDRESS
maestro,FD_ATTARCREDITO
maestro,ODS_TARJ_DEBITO
maestro,FD_AMBS_CUENTAS
maestro,FD_PARAM_TRX_MON
maestro,ODS_FINMES_ATCTACTES
maestro,MDM_CONSENT_M_FULL
maestro,USRCIF_PROD
maestro,NU_CLASES_SERVICIO
maestro,GD_MID_TXN_CANALES_TRAD
maestro,FD_AMPS_PLANES1
maestro,FD_PARAM_PLANES_CRED
maestro,GD_MID_TOKEN
maestro,ODS_PRODUCT_CLIE_FULL
maestro,ODS_CREDITOS_CML
maestro,TARJETAS_CREDITOS
maestro,ATCRM_FULL1
maestro,MDM_MACROROLE
maestro,LINEAS_CREDITOS
maestro,NU_ESTABLECIMIENTOS